Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-3026.2764	18.641056	-3001.4465	-3053.1506	1000.0	0.01736084	0.048643276	0.1930339	-0.14313884	4000	9.2666596e-08	79814.9	-0.015775353	-5033.996	0.9189386	0.008821167	0.117	79.0	3.4799447059631348
1	-2970.83	23.8101	-2940.1116	-3005.872	1000.0	-9.500448	0.18323503	-7.8436527	-9.673945	8000	1.0244548e-07	72078.01	-0.013182109	-3171.5918	0.90757644	0.007803454	0.1055	79.0	6.34894323348999
2	-2999.5283	16.89754	-2986.3318	-3028.355	1000.0	-15.800331	0.06609454	-14.845342	-15.847637	12000	3.259629e-09	70984.96	-0.019104805	-2836.0	0.9058593	0.011216976	0.1615	79.0	9.19894289970398
3	-2918.0137	28.234943	-2871.965	-2948.4531	1000.0	-21.48156	0.038307358	-20.817713	-21.50542	16000	-7.264316e-08	63798.51	-0.016231414	-2511.5771	0.89173585	0.0074701067	0.13375	79.0	12.09094762802124
4	-2948.7964	35.74571	-2912.0388	-2993.899	1000.0	-26.78507	0.027894368	-26.32608	-26.800394	20000	2.644956e-07	63170.047	-0.015580291	-2463.249	0.8733911	0.0068069724	0.1265	79.0	15.338944435119629
5	-2869.8699	14.296776	-2847.722	-2887.5134	1000.0	-32.016544	0.01621465	-31.870872	-32.026646	24000	-1.3411045e-07	57017.133	-0.017718438	-2242.5498	0.85568213	0.012018881	0.156	79.0	24.035510301589966
6	-2849.7922	14.112634	-2837.1628	-2873.0837	1000.0	-37.030952	0.013769488	-36.769745	-37.038765	28000	-1.5739352e-07	54090.484	-0.01578519	-2133.6475	0.8473884	0.012428467	0.1245	79.0	33.644513845443726
7	-2819.2175	14.751432	-2805.404	-2843.0342	1000.0	-41.94111	0.010804741	-41.798195	-41.947216	32000	-5.2154064e-08	50978.12	-0.018613832	-2028.3359	0.83921105	0.013308136	0.155	79.0	40.80851602554321
8	-2786.0532	24.376888	-2760.4666	-2823.0989	1000.0	-46.758774	0.009203943	-46.624207	-46.763626	36000	-7.8231096e-08	47048.29	-0.016998496	-1912.2305	0.8285909	0.011449663	0.136	79.0	46.334514141082764
9	-2784.8308	9.0326605	-2771.7717	-2795.5835	1000.0	-51.471054	0.007106847	-51.36885	-51.475075	40000	-8.1723556e-08	45332.53	-0.017658215	-1854.6094	0.8296914	0.011480715	0.15075001	79.0	51.31851267814636
10	-2707.5093	26.476858	-2681.16	-2744.938	1000.0	-56.142475	0.0064112213	-56.033756	-56.146008	44000	-1.09896064e-07	40843.48	-0.01810175	-1699.0195	0.8148573	0.010646435	0.15675	79.0	55.66451168060303
11	-2686.0977	25.884613	-2653.5854	-2721.3943	1000.0	-60.658783	0.005714274	-60.54854	-60.66188	48000	1.1175871e-08	38264.04	-0.018927414	-1617.6475	0.81036913	0.0071222824	0.1625	79.0	61.15851402282715
12	-2660.0503	19.247953	-2639.6428	-2685.2732	1000.0	-65.100464	0.004951265	-65.02714	-65.103134	52000	-1.9557774e-07	35743.18	-0.015379427	-1538.8115	0.7969179	0.011774401	0.13624999	79.0	65.80951619148254
13	-2635.197	14.088265	-2620.6785	-2657.9385	1000.0	-69.47363	0.00432295	-69.410934	-69.47593	56000	1.466833e-07	33722.953	-0.0154789435	-1463.7627	0.78621125	0.010919888	0.1255	79.0	70.07451486587524
14	-2608.595	11.86811	-2589.5754	-2619.671	1000.0	-73.77978	0.0038763108	-73.72749	-73.78184	60000	2.370216e-07	31390.91	-0.018483061	-1389.231	0.7761503	0.008520033	0.16375	79.0	74.61451458930969
15	-2555.3928	17.683537	-2535.0806	-2583.743	1000.0	-78.016685	0.0035816971	-77.90262	-78.01849	64000	-2.9616058e-07	28184.316	-0.01903911	-1274.523	0.7612257	0.009585908	0.15400001	79.0	79.40051364898682
16	-2537.4624	20.14529	-2508.1633	-2563.467	1000.0	-82.121605	0.0031020904	-82.038376	-82.12323	68000	1.0151416e-07	26273.086	-0.015956141	-1209.4463	0.75080323	0.011841166	0.14750001	79.0	83.5975079536438
17	-2505.8145	18.445406	-2475.881	-2526.2297	1000.0	-86.1599	0.003079874	-86.099846	-86.16144	72000	2.081506e-07	24333.906	-0.01803948	-1142.5596	0.74357414	0.010448527	0.1415	79.0	87.36851048469543
18	-2493.5322	23.457466	-2467.9111	-2530.4253	1000.0	-90.1296	0.002664691	-90.09123	-90.13103	76000	-3.7252903e-07	23025.621	-0.019039145	-1097.4868	0.73613274	0.007889604	0.1505	79.0	91.5305106639862
19	-2482.8833	16.143095	-2455.257	-2495.676	1000.0	-94.062126	0.0024665878	-94.01956	-94.06343	80000	4.656613e-08	21463.29	-0.01678723	-1049.6411	0.71711516	0.008097576	0.143	79.0	95.18111443519592
20	-2421.7556	21.553118	-2393.0156	-2445.2498	1000.0	-97.95202	0.0020892683	-97.93053	-97.9532	84000	-3.031455e-07	18864.65	-0.017388586	-937.33936	0.6992395	0.012024013	0.13825001	79.0	98.72611093521118
21	-2419.342	11.435843	-2404.219	-2431.7202	1000.0	-101.67924	0.002005344	-101.64583	-101.68034	88000	2.5541522e-07	17993.117	-0.017343359	-905.2378	0.69601727	0.01240841	0.1605	79.0	102.9171097278595
22	-2388.7864	7.4797435	-2376.9844	-2396.9626	1000.0	-105.37795	0.0019804602	-105.35096	-105.379	92000	1.8510036e-08	16374.41	-0.01869113	-843.14624	0.68161297	0.015006657	0.15125	56.0	106.34811449050903
23	-2362.5493	27.177626	-2315.63	-2380.6934	1000.0	-108.9962	0.0018972734	-108.96167	-108.99721	96000	-3.632158e-08	15031.304	-0.01644629	-785.3799	0.6704034	0.010184716	0.144	79.0	109.86011266708374
24	-2347.1	15.596302	-2329.4514	-2369.8457	1000.0	-112.53264	0.0015441857	-112.515755	-112.53354	100000	5.122274e-09	13950.764	-0.01713899	-741.2759	0.6659188	0.013621887	0.1505	79.0	113.09711575508118
25	-2319.6162	33.304886	-2280.5483	-2370.7153	1000.0	-116.01151	0.0016238156	-115.984184	-116.0124	104000	1.2665987e-07	12564.424	-0.017675247	-686.58276	0.6466924	0.0099195605	0.14774999	79.0	116.64711022377014
26	-2309.834	13.746549	-2295.9355	-2331.458	1000.0	-119.406	0.0013799802	-119.38062	-119.40679	108000	-1.1269003e-07	11818.141	-0.01876393	-652.7644	0.63796014	0.012018657	0.1585	79.0	120.37311053276062
